IP,ORIGIN,CERT_DOMAIN,CERT_ISSUER,GEO_CODE
140.245.43.148,140.245.43.148,mywoiden3.linkpc.net,ZeroSSL,N/A
140.245.43.133,140.245.43.133,dev.ociug.com,Google Trust Services LLC,N/A
140.245.43.82,140.245.43.82,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.43.147,140.245.43.147,www.google.com,Google Trust Services,N/A
140.245.43.124,140.245.43.124,localhost,FIT2CLOUD,N/A
140.245.43.216,140.245.43.216,localhost,FIT2CLOUD,N/A
140.245.43.48,140.245.43.48,api.hotaruapi.top,Let's Encrypt,N/A
140.245.43.222,140.245.43.222,2349090.xyz,Let's Encrypt,N/A
140.245.42.202,140.245.42.202,fm1104.us.kg,Let's Encrypt,N/A
140.245.42.199,140.245.42.199,fe.googletogoogle.com,Let's Encrypt,N/A
140.245.42.163,140.245.42.163,aeinfias.com,Let's Encrypt,N/A
140.245.44.79,140.245.44.79,*.zoom.us,DigiCert Inc,N/A
140.245.42.200,140.245.42.200,tz.zhongrelx.eu.org,Let's Encrypt,N/A
140.245.42.117,140.245.42.117,admin.dulavpn.store,Let's Encrypt,N/A
140.245.42.89,140.245.42.89,sgfour.oxpp.com,Let's Encrypt,N/A
140.245.42.78,140.245.42.78,mitu.quocanhit.com,Let's Encrypt,N/A
140.245.44.164,140.245.44.164,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.42.49,140.245.42.49,sgr1.366661.xyz,Let's Encrypt,N/A
140.245.42.53,140.245.42.53,Common Name,Organization,N/A
140.245.42.30,140.245.42.30,*.zoom.us,DigiCert Inc,N/A
140.245.44.224,140.245.44.224,555113.xyz,Let's Encrypt,N/A
140.245.44.241,140.245.44.241,588068.xyz,Let's Encrypt,N/A
140.245.44.232,140.245.44.232,localhost,FIT2CLOUD,N/A
140.245.44.244,140.245.44.244,warehousedoor.store,Let's Encrypt,N/A
140.245.42.2,140.245.42.2,oracle-1.tmtunnels.tech,Let's Encrypt,N/A
140.245.45.10,140.245.45.10,yahoo.com,DigiCert Inc,N/A
140.245.45.16,140.245.45.16,*.dmkk.cloudns.nz,Let's Encrypt,N/A
140.245.45.56,140.245.45.56,linux-go.site,Let's Encrypt,N/A
140.245.45.69,140.245.45.69,Lucky,lucky666CN,N/A
140.245.41.139,140.245.41.139,nurture.icoc.org.tw,Let's Encrypt,N/A
140.245.45.117,140.245.45.117,jtree.kr,Let's Encrypt,N/A
140.245.45.120,140.245.45.120,sgx.emby.trade,Let's Encrypt,N/A
140.245.45.168,140.245.45.168,*.zoom.us,DigiCert Inc,N/A
140.245.45.91,140.245.45.91,redash.sicpama.com,Let's Encrypt,N/A
140.245.41.58,140.245.41.58,adibdev.me,Let's Encrypt,N/A
140.245.41.73,140.245.41.73,5050.linkpc.net,Let's Encrypt,N/A
140.245.41.46,140.245.41.46,admin-api.nnnotix.com,Let's Encrypt,N/A
140.245.41.30,140.245.41.30,ipfokus.akses.win,Let's Encrypt,N/A
140.245.41.26,140.245.41.26,hcp.coshter.shop,Let's Encrypt,N/A
140.245.41.15,140.245.41.15,oneds.org,Let's Encrypt,N/A
140.245.41.11,140.245.41.11,ucoeo.com,Let's Encrypt,N/A
140.245.40.221,140.245.40.221,game.586vip.cn,Let's Encrypt,N/A
140.245.40.219,140.245.40.219,bt.337845818.cc,Let's Encrypt,N/A
140.245.41.12,140.245.41.12,Common Name,Organization,N/A
140.245.46.53,140.245.46.53,localhost,FIT2CLOUD,N/A
140.245.40.164,140.245.40.164,cbnotes.com,Let's Encrypt,N/A
140.245.46.72,140.245.46.72,docker.qcwolf.com,Let's Encrypt,N/A
140.245.40.144,140.245.40.144,*.191008.xyz,Let's Encrypt,N/A
140.245.40.142,140.245.40.142,api-aaa.fenliu.cm,Let's Encrypt,N/A
140.245.40.141,140.245.40.141,Common Name,Organization,N/A
140.245.46.140,140.245.46.140,Cloudflare,"Cloudflare, Inc.",N/A
